B_Prose,B01,B01.002.001_AECHom_II__Pref__T02510.txt,146,110,223
RANK,HTML WORD,RAW WORD,COUNT,RELATIVE FREQUENCY
1,on,<code>on</code>,9,0.0403587
2,ic,<code>ic</code>,7,0.0313901
3,&eth;&aelig;re,<code>&amp;d;&amp;ae;re</code>,5,0.0224215
3,&eth;e,<code>&amp;d;e</code>,5,0.0224215
3,&thorn;&aelig;t,<code>&amp;t;&amp;ae;t</code>,5,0.0224215
3,he,<code>he</code>,5,0.0224215
3,to,<code>to</code>,5,0.0224215
8,&eth;a,<code>&amp;d;a</code>,4,0.0179372
8,hi,<code>hi</code>,4,0.0179372
8,of,<code>of</code>,4,0.0179372
11,&thorn;&aelig;ra,<code>&amp;t;&amp;ae;ra</code>,3,0.0134529
11,&thorn;e,<code>&amp;t;e</code>,3,0.0134529
11,and,<code>and</code>,3,0.0134529
11,boc,<code>boc</code>,3,0.0134529
11,forespr&aelig;ce,<code>forespr&amp;ae;ce</code>,3,0.0134529
11,gif,<code>gif</code>,3,0.0134529
11,godes,<code>godes</code>,3,0.0134529
11,sind,<code>sind</code>,3,0.0134529
19,&aelig;fter,<code>&amp;ae;fter</code>,2,0.0089686
19,&thorn;a,<code>&amp;t;a</code>,2,0.0089686
19,ac,<code>ac</code>,2,0.0089686
19,awende,<code>awende</code>,2,0.0089686
19,beon,<code>beon</code>,2,0.0089686
19,bocum,<code>bocum</code>,2,0.0089686
19,buton,<code>buton</code>,2,0.0089686
19,for,<code>for</code>,2,0.0089686
19,gerihte,<code>gerihte</code>,2,0.0089686
19,godspellum,<code>godspellum</code>,2,0.0089686
19,hit,<code>hit</code>,2,0.0089686
19,lareowa,<code>lareowa</code>,2,0.0089686
19,leden,<code>leden</code>,2,0.0089686
19,naman,<code>naman</code>,2,0.0089686
19,ne,<code>ne</code>,2,0.0089686
19,se,<code>se</code>,2,0.0089686
19,we,<code>we</code>,2,0.0089686
19,wile,<code>wile</code>,2,0.0089686
37,&aelig;&eth;ryt,<code>&amp;ae;&amp;d;ryt</code>,1,0.0044843
37,&aelig;ftran,<code>&amp;ae;ftran</code>,1,0.0044843
37,&aelig;g&eth;er,<code>&amp;ae;g&amp;d;er</code>,1,0.0044843
37,&aelig;lcum,<code>&amp;ae;lcum</code>,1,0.0044843
37,&aelig;lfric,<code>&amp;ae;lfric</code>,1,0.0044843
37,&aelig;r,<code>&amp;ae;r</code>,1,0.0044843
37,&aelig;rran,<code>&amp;ae;rran</code>,1,0.0044843
37,&aelig;tforan,<code>&amp;ae;tforan</code>,1,0.0044843
37,&eth;am,<code>&amp;d;am</code>,1,0.0044843
37,&eth;an,<code>&amp;d;an</code>,1,0.0044843
37,&eth;as,<code>&amp;d;as</code>,1,0.0044843
37,&eth;eah,<code>&amp;d;eah</code>,1,0.0044843
37,&eth;i,<code>&amp;d;i</code>,1,0.0044843
37,&eth;ohte,<code>&amp;d;ohte</code>,1,0.0044843
37,&eth;urh,<code>&amp;d;urh</code>,1,0.0044843
37,&thorn;am,<code>&amp;t;am</code>,1,0.0044843
37,&thorn;as,<code>&amp;t;as</code>,1,0.0044843
37,&thorn;rowunge,<code>&amp;t;rowunge</code>,1,0.0044843
37,ane,<code>ane</code>,1,0.0044843
37,anes,<code>anes</code>,1,0.0044843
37,angelcynn,<code>angelcynn</code>,1,0.0044843
37,anra,<code>anra</code>,1,0.0044843
37,asmeade,<code>asmeade</code>,1,0.0044843
37,awrat,<code>awrat</code>,1,0.0044843
37,awritan,<code>awritan</code>,1,0.0044843
37,be,<code>be</code>,1,0.0044843
37,bec,<code>bec</code>,1,0.0044843
37,bidde,<code>bidde</code>,1,0.0044843
37,boca,<code>boca</code>,1,0.0044843
37,bysne,<code>bysne</code>,1,0.0044843
37,capitulas,<code>capitulas</code>,1,0.0044843
37,christi,<code>christi</code>,1,0.0044843
37,cunnon,<code>cunnon</code>,1,0.0044843
37,cwyda,<code>cwyda</code>,1,0.0044843
37,cwyde,<code>cwyde</code>,1,0.0044843
37,de&eth;,<code>de&amp;d;</code>,1,0.0044843
37,dome,<code>dome</code>,1,0.0044843
37,ealle,<code>ealle</code>,1,0.0044843
37,engliscum,<code>engliscum</code>,1,0.0044843
37,fela,<code>fela</code>,1,0.0044843
37,feowertig,<code>feowertig</code>,1,0.0044843
37,forwel,<code>forwel</code>,1,0.0044843
37,freolsdagum,<code>freolsdagum</code>,1,0.0044843
37,ge&eth;ungenra,<code>ge&amp;d;ungenra</code>,1,0.0044843
37,geare,<code>geare</code>,1,0.0044843
37,geares,<code>geares</code>,1,0.0044843
37,gebigde,<code>gebigde</code>,1,0.0044843
37,gebringe,<code>gebringe</code>,1,0.0044843
37,gedwylde,<code>gedwylde</code>,1,0.0044843
37,geendebyrdian,<code>geendebyrdian</code>,1,0.0044843
37,gegaderode,<code>gegaderode</code>,1,0.0044843
37,gehwa,<code>gehwa</code>,1,0.0044843
37,gehyrenne,<code>gehyrenne</code>,1,0.0044843
37,geleahtrode,<code>geleahtrode</code>,1,0.0044843
37,genam,<code>genam</code>,1,0.0044843
37,genumene,<code>genumene</code>,1,0.0044843
37,geornlice,<code>geornlice</code>,1,0.0044843
37,gereccednysse,<code>gereccednysse</code>,1,0.0044843
37,gereorde,<code>gereorde</code>,1,0.0044843
37,gerihtl&aelig;can,<code>gerihtl&amp;ae;can</code>,1,0.0044843
37,gesette,<code>gesette</code>,1,0.0044843
37,gymeleasum,<code>gymeleasum</code>,1,0.0044843
37,halgena,<code>halgena</code>,1,0.0044843
37,halgum,<code>halgum</code>,1,0.0044843
37,halsige,<code>halsige</code>,1,0.0044843
37,huius,<code>huius</code>,1,0.0044843
37,hwa,<code>hwa</code>,1,0.0044843
37,in,<code>in</code>,1,0.0044843
37,incipit,<code>incipit</code>,1,0.0044843
37,l&aelig;s,<code>l&amp;ae;s</code>,1,0.0044843
37,l&aelig;sse,<code>l&amp;ae;sse</code>,1,0.0044843
37,lare,<code>lare</code>,1,0.0044843
37,leas,<code>leas</code>,1,0.0044843
37,leasum,<code>leasum</code>,1,0.0044843
37,ledenan,<code>ledenan</code>,1,0.0044843
37,ledenum,<code>ledenum</code>,1,0.0044843
37,libri,<code>libri</code>,1,0.0044843
37,life,<code>life</code>,1,0.0044843
37,m&aelig;g,<code>m&amp;ae;g</code>,1,0.0044843
37,man,<code>man</code>,1,0.0044843
37,mannum,<code>mannum</code>,1,0.0044843
37,micel,<code>micel</code>,1,0.0044843
37,mid,<code>mid</code>,1,0.0044843
37,munuc,<code>munuc</code>,1,0.0044843
37,na,<code>na</code>,1,0.0044843
37,nomine,<code>nomine</code>,1,0.0044843
37,nu,<code>nu</code>,1,0.0044843
37,o&eth;&eth;e,<code>o&amp;d;&amp;d;e</code>,1,0.0044843
37,o&eth;re,<code>o&amp;d;re</code>,1,0.0044843
37,omnipotentis,<code>omnipotentis</code>,1,0.0044843
37,praefatio,<code>praefatio</code>,1,0.0044843
37,r&aelig;denne,<code>r&amp;ae;denne</code>,1,0.0044843
37,r&aelig;t,<code>r&amp;ae;t</code>,1,0.0044843
37,sceal,<code>sceal</code>,1,0.0044843
37,setton,<code>setton</code>,1,0.0044843
37,so&eth;an,<code>so&amp;d;an</code>,1,0.0044843
37,swa,<code>swa</code>,1,0.0044843
37,swilce,<code>swilce</code>,1,0.0044843
37,swutelunge,<code>swutelunge</code>,1,0.0044843
37,trahtnungum,<code>trahtnungum</code>,1,0.0044843
37,twam,<code>twam</code>,1,0.0044843
37,unscyldig,<code>unscyldig</code>,1,0.0044843
37,w&aelig;re,<code>w&amp;ae;re</code>,1,0.0044843
37,woge,<code>woge</code>,1,0.0044843
37,writ,<code>writ</code>,1,0.0044843
37,writerum,<code>writerum</code>,1,0.0044843
37,wur&eth;a&eth;,<code>wur&amp;d;a&amp;d;</code>,1,0.0044843
37,wylle,<code>wylle</code>,1,0.0044843
37,yfel,<code>yfel</code>,1,0.0044843
37,ymbryne,<code>ymbryne</code>,1,0.0044843
