B_Prose,B01,B01.003.007_AELS__Maur__T03070.txt,961,650,2842
RANK,HTML WORD,RAW WORD,COUNT,RELATIVE FREQUENCY
1,and,<code>and</code>,172,0.0605208
2,he,<code>he</code>,86,0.0302604
3,on,<code>on</code>,76,0.0267417
4,to,<code>to</code>,62,0.0218156
5,his,<code>his</code>,59,0.0207600
6,&thorn;a,<code>&amp;t;a</code>,57,0.0200563
7,&thorn;&aelig;t,<code>&amp;t;&amp;ae;t</code>,52,0.0182970
8,swa,<code>swa</code>,48,0.0168895
9,mid,<code>mid</code>,47,0.0165376
10,&thorn;e,<code>&amp;t;e</code>,46,0.0161858
11,him,<code>him</code>,44,0.0154821
12,se,<code>se</code>,42,0.0147783
13,&eth;am,<code>&amp;d;am</code>,37,0.0130190
14,&eth;a,<code>&amp;d;a</code>,28,0.0098522
14,of,<code>of</code>,28,0.0098522
14,w&aelig;s,<code>w&amp;ae;s</code>,28,0.0098522
17,&thorn;am,<code>&amp;t;am</code>,27,0.0095004
18,maurus,<code>maurus</code>,26,0.0091485
19,hi,<code>hi</code>,24,0.0084448
20,&thorn;&aelig;s,<code>&amp;t;&amp;ae;s</code>,18,0.0063336
21,be,<code>be</code>,17,0.0059817
22,eac,<code>eac</code>,16,0.0056298
23,ac,<code>ac</code>,15,0.0052780
23,hine,<code>hine</code>,15,0.0052780
25,godes,<code>godes</code>,14,0.0049261
25,mynstre,<code>mynstre</code>,14,0.0049261
27,for,<code>for</code>,13,0.0045742
27,fram,<code>fram</code>,13,0.0045742
29,&thorn;one,<code>&amp;t;one</code>,12,0.0042224
29,&thorn;u,<code>&amp;t;u</code>,12,0.0042224
29,gode,<code>gode</code>,12,0.0042224
29,halgan,<code>halgan</code>,12,0.0042224
29,heora,<code>heora</code>,12,0.0042224
34,&thorn;eah,<code>&amp;t;eah</code>,11,0.0038705
34,eft,<code>eft</code>,11,0.0038705
34,florus,<code>florus</code>,11,0.0038705
37,cw&aelig;&eth;,<code>cw&amp;ae;&amp;d;</code>,10,0.0035186
37,eode,<code>eode</code>,10,0.0035186
37,hw&aelig;t,<code>hw&amp;ae;t</code>,10,0.0035186
37,maure,<code>maure</code>,10,0.0035186
37,si&eth;&eth;an,<code>si&amp;d;&amp;d;an</code>,10,0.0035186
37,we,<code>we</code>,10,0.0035186
43,&aelig;fter,<code>&amp;ae;fter</code>,9,0.0031668
43,&eth;e,<code>&amp;d;e</code>,9,0.0031668
43,het,<code>het</code>,9,0.0031668
43,maures,<code>maures</code>,9,0.0031668
43,sona,<code>sona</code>,9,0.0031668
43,wear&eth;,<code>wear&amp;d;</code>,9,0.0031668
43,wolde,<code>wolde</code>,9,0.0031668
50,&aelig;r,<code>&amp;ae;r</code>,8,0.0028149
50,&thorn;urh,<code>&amp;t;urh</code>,8,0.0028149
50,b&aelig;d,<code>b&amp;ae;d</code>,8,0.0028149
50,god,<code>god</code>,8,0.0028149
50,muneca,<code>muneca</code>,8,0.0028149
50,ne,<code>ne</code>,8,0.0028149
56,benedicte,<code>benedicte</code>,7,0.0024631
56,benedictus,<code>benedictus</code>,7,0.0024631
56,hit,<code>hit</code>,7,0.0024631
56,mihte,<code>mihte</code>,7,0.0024631
56,munecas,<code>munecas</code>,7,0.0024631
56,o&eth;re,<code>o&amp;d;re</code>,7,0.0024631
56,sylf,<code>sylf</code>,7,0.0024631
56,w&aelig;re,<code>w&amp;ae;re</code>,7,0.0024631
64,&eth;&aelig;s,<code>&amp;d;&amp;ae;s</code>,6,0.0021112
64,&thorn;&aelig;r,<code>&amp;t;&amp;ae;r</code>,6,0.0021112
64,&thorn;&aelig;ra,<code>&amp;t;&amp;ae;ra</code>,6,0.0021112
64,agenum,<code>agenum</code>,6,0.0021112
64,beon,<code>beon</code>,6,0.0021112
64,cyning,<code>cyning</code>,6,0.0021112
64,cyrcan,<code>cyrcan</code>,6,0.0021112
64,eall,<code>eall</code>,6,0.0021112
64,ealle,<code>ealle</code>,6,0.0021112
64,ferde,<code>ferde</code>,6,0.0021112
64,geh&aelig;lde,<code>geh&amp;ae;lde</code>,6,0.0021112
64,life,<code>life</code>,6,0.0021112
64,mynster,<code>mynster</code>,6,0.0021112
64,sum,<code>sum</code>,6,0.0021112
64,sume,<code>sume</code>,6,0.0021112
64,wurdon,<code>wurdon</code>,6,0.0021112
80,&aelig;nne,<code>&amp;ae;nne</code>,5,0.0017593
80,&thorn;eowdome,<code>&amp;t;eowdome</code>,5,0.0017593
80,abbod,<code>abbod</code>,5,0.0017593
80,aras,<code>aras</code>,5,0.0017593
80,bletsode,<code>bletsode</code>,5,0.0017593
80,com,<code>com</code>,5,0.0017593
80,dihte,<code>dihte</code>,5,0.0017593
80,eallum,<code>eallum</code>,5,0.0017593
80,geare,<code>geare</code>,5,0.0017593
80,gif,<code>gif</code>,5,0.0017593
80,lande,<code>lande</code>,5,0.0017593
80,martines,<code>martines</code>,5,0.0017593
80,menn,<code>menn</code>,5,0.0017593
80,na,<code>na</code>,5,0.0017593
80,naman,<code>naman</code>,5,0.0017593
80,nu,<code>nu</code>,5,0.0017593
80,sawle,<code>sawle</code>,5,0.0017593
80,sceolde,<code>sceolde</code>,5,0.0017593
80,stowe,<code>stowe</code>,5,0.0017593
99,&aelig;lmihtigan,<code>&amp;ae;lmihtigan</code>,4,0.0014075
99,&aelig;t,<code>&amp;ae;t</code>,4,0.0014075
99,&eth;one,<code>&amp;d;one</code>,4,0.0014075
99,&eth;u,<code>&amp;d;u</code>,4,0.0014075
99,&thorn;&aelig;re,<code>&amp;t;&amp;ae;re</code>,4,0.0014075
99,&thorn;inum,<code>&amp;t;inum</code>,4,0.0014075
99,an,<code>an</code>,4,0.0014075
99,anum,<code>anum</code>,4,0.0014075
99,asende,<code>asende</code>,4,0.0014075
99,binnan,<code>binnan</code>,4,0.0014075
99,bisceope,<code>bisceope</code>,4,0.0014075
99,engel,<code>engel</code>,4,0.0014075
99,eow,<code>eow</code>,4,0.0014075
99,for&eth;an,<code>for&amp;d;an</code>,4,0.0014075
99,fores&aelig;dan,<code>fores&amp;ae;dan</code>,4,0.0014075
99,fotum,<code>fotum</code>,4,0.0014075
99,francena,<code>francena</code>,4,0.0014075
99,ge,<code>ge</code>,4,0.0014075
99,gebro&eth;rum,<code>gebro&amp;d;rum</code>,4,0.0014075
99,georne,<code>georne</code>,4,0.0014075
99,geseah,<code>geseah</code>,4,0.0014075
99,gesund,<code>gesund</code>,4,0.0014075
99,h&aelig;fde,<code>h&amp;ae;fde</code>,4,0.0014075
99,halga,<code>halga</code>,4,0.0014075
99,ic,<code>ic</code>,4,0.0014075
99,into,<code>into</code>,4,0.0014075
99,lac,<code>lac</code>,4,0.0014075
99,maurum,<code>maurum</code>,4,0.0014075
99,micclum,<code>micclum</code>,4,0.0014075
99,munecum,<code>munecum</code>,4,0.0014075
99,munuc,<code>munuc</code>,4,0.0014075
99,r&aelig;de,<code>r&amp;ae;de</code>,4,0.0014075
99,rice,<code>rice</code>,4,0.0014075
99,sunu,<code>sunu</code>,4,0.0014075
99,twegen,<code>twegen</code>,4,0.0014075
99,us,<code>us</code>,4,0.0014075
99,wel,<code>wel</code>,4,0.0014075
99,wer,<code>wer</code>,4,0.0014075
99,wordum,<code>wordum</code>,4,0.0014075
99,ylcan,<code>ylcan</code>,4,0.0014075
139,&aelig;fre,<code>&amp;ae;fre</code>,3,0.0010556
139,&aelig;tforan,<code>&amp;ae;tforan</code>,3,0.0010556
139,&eth;urh,<code>&amp;d;urh</code>,3,0.0010556
139,&thorn;anon,<code>&amp;t;anon</code>,3,0.0010556
139,&thorn;as,<code>&amp;t;as</code>,3,0.0010556
139,&thorn;earle,<code>&amp;t;earle</code>,3,0.0010556
139,ar&aelig;rde,<code>ar&amp;ae;rde</code>,3,0.0010556
139,benedictes,<code>benedictes</code>,3,0.0010556
139,butan,<code>butan</code>,3,0.0010556
139,cnapa,<code>cnapa</code>,3,0.0010556
139,cnapan,<code>cnapan</code>,3,0.0010556
139,cyninge,<code>cyninge</code>,3,0.0010556
139,d&aelig;ge,<code>d&amp;ae;ge</code>,3,0.0010556
139,drihten,<code>drihten</code>,3,0.0010556
139,drohtnunge,<code>drohtnunge</code>,3,0.0010556
139,feond,<code>feond</code>,3,0.0010556
139,feowertig,<code>feowertig</code>,3,0.0010556
139,for&eth;,<code>for&amp;d;</code>,3,0.0010556
139,foresceawode,<code>foresceawode</code>,3,0.0010556
139,gebro&eth;ra,<code>gebro&amp;d;ra</code>,3,0.0010556
139,geferan,<code>geferan</code>,3,0.0010556
139,gewitan,<code>gewitan</code>,3,0.0010556
139,h&aelig;le,<code>h&amp;ae;le</code>,3,0.0010556
139,ham,<code>ham</code>,3,0.0010556
139,heofonum,<code>heofonum</code>,3,0.0010556
139,her,<code>her</code>,3,0.0010556
139,hu,<code>hu</code>,3,0.0010556
139,l&aelig;g,<code>l&amp;ae;g</code>,3,0.0010556
139,lufe,<code>lufe</code>,3,0.0010556
139,mann,<code>mann</code>,3,0.0010556
139,micelre,<code>micelre</code>,3,0.0010556
139,munuclif,<code>munuclif</code>,3,0.0010556
139,o&eth;er,<code>o&amp;d;er</code>,3,0.0010556
139,preost,<code>preost</code>,3,0.0010556
139,s&aelig;de,<code>s&amp;ae;de</code>,3,0.0010556
139,sceoccan,<code>sceoccan</code>,3,0.0010556
139,so&eth;f&aelig;stan,<code>so&amp;d;f&amp;ae;stan</code>,3,0.0010556
139,sumere,<code>sumere</code>,3,0.0010556
139,sumum,<code>sumum</code>,3,0.0010556
139,sylfe,<code>sylfe</code>,3,0.0010556
139,synd,<code>synd</code>,3,0.0010556
139,w&aelig;ron,<code>w&amp;ae;ron</code>,3,0.0010556
139,weorce,<code>weorce</code>,3,0.0010556
139,wi&eth;,<code>wi&amp;d;</code>,3,0.0010556
139,willan,<code>willan</code>,3,0.0010556
139,win,<code>win</code>,3,0.0010556
139,worulde,<code>worulde</code>,3,0.0010556
139,wundra,<code>wundra</code>,3,0.0010556
139,wunian,<code>wunian</code>,3,0.0010556
139,wunode,<code>wunode</code>,3,0.0010556
139,wurde,<code>wurde</code>,3,0.0010556
190,&eth;&aelig;t,<code>&amp;d;&amp;ae;t</code>,2,0.0007037
190,&thorn;ine,<code>&amp;t;ine</code>,2,0.0007037
190,&thorn;isum,<code>&amp;t;isum</code>,2,0.0007037
190,&thorn;onne,<code>&amp;t;onne</code>,2,0.0007037
190,&thorn;yder,<code>&amp;t;yder</code>,2,0.0007037
190,&thorn;yllice,<code>&amp;t;yllice</code>,2,0.0007037
190,&thorn;ysum,<code>&amp;t;ysum</code>,2,0.0007037
190,a,<code>a</code>,2,0.0007037
190,ar&aelig;ran,<code>ar&amp;ae;ran</code>,2,0.0007037
190,ardlice,<code>ardlice</code>,2,0.0007037
190,awrat,<code>awrat</code>,2,0.0007037
190,b&aelig;don,<code>b&amp;ae;don</code>,2,0.0007037
190,becuma&eth;,<code>becuma&amp;d;</code>,2,0.0007037
190,began,<code>began</code>,2,0.0007037
190,behet,<code>behet</code>,2,0.0007037
190,beo,<code>beo</code>,2,0.0007037
190,beran,<code>beran</code>,2,0.0007037
190,bet&aelig;hte,<code>bet&amp;ae;hte</code>,2,0.0007037
190,bi&eth;,<code>bi&amp;d;</code>,2,0.0007037
190,bigleofan,<code>bigleofan</code>,2,0.0007037
190,biscop,<code>biscop</code>,2,0.0007037
190,come,<code>come</code>,2,0.0007037
190,crist,<code>crist</code>,2,0.0007037
190,cw&aelig;&thorn;,<code>cw&amp;ae;&amp;t;</code>,2,0.0007037
190,cw&aelig;don,<code>cw&amp;ae;don</code>,2,0.0007037
190,cydde,<code>cydde</code>,2,0.0007037
190,dea&eth;e,<code>dea&amp;d;e</code>,2,0.0007037
190,deadan,<code>deadan</code>,2,0.0007037
190,deofol,<code>deofol</code>,2,0.0007037
190,drihtnes,<code>drihtnes</code>,2,0.0007037
190,ealles,<code>ealles</code>,2,0.0007037
190,earde,<code>earde</code>,2,0.0007037
190,eart,<code>eart</code>,2,0.0007037
190,ecan,<code>ecan</code>,2,0.0007037
190,ecnysse,<code>ecnysse</code>,2,0.0007037
190,embe,<code>embe</code>,2,0.0007037
190,f&aelig;der,<code>f&amp;ae;der</code>,2,0.0007037
190,feollon,<code>feollon</code>,2,0.0007037
190,feower,<code>feower</code>,2,0.0007037
190,feredon,<code>feredon</code>,2,0.0007037
190,fyrmest,<code>fyrmest</code>,2,0.0007037
190,gang,<code>gang</code>,2,0.0007037
190,geara,<code>geara</code>,2,0.0007037
190,gecw&aelig;&eth;,<code>gecw&amp;ae;&amp;d;</code>,2,0.0007037
190,geendode,<code>geendode</code>,2,0.0007037
190,gehaten,<code>gehaten</code>,2,0.0007037
190,gehelpan,<code>gehelpan</code>,2,0.0007037
190,geleafan,<code>geleafan</code>,2,0.0007037
190,gemette,<code>gemette</code>,2,0.0007037
190,gemynte,<code>gemynte</code>,2,0.0007037
190,gereorde,<code>gereorde</code>,2,0.0007037
190,ges&aelig;lig,<code>ges&amp;ae;lig</code>,2,0.0007037
190,gesih&eth;e,<code>gesih&amp;d;e</code>,2,0.0007037
190,geswutelode,<code>geswutelode</code>,2,0.0007037
190,gewat,<code>gewat</code>,2,0.0007037
190,geworhte,<code>geworhte</code>,2,0.0007037
190,h&aelig;lend,<code>h&amp;ae;lend</code>,2,0.0007037
190,h&aelig;lendes,<code>h&amp;ae;lendes</code>,2,0.0007037
190,hider,<code>hider</code>,2,0.0007037
190,hund,<code>hund</code>,2,0.0007037
190,hundseofontig,<code>hundseofontig</code>,2,0.0007037
190,hwilon,<code>hwilon</code>,2,0.0007037
190,is,<code>is</code>,2,0.0007037
190,l&aelig;s,<code>l&amp;ae;s</code>,2,0.0007037
190,l&aelig;tan,<code>l&amp;ae;tan</code>,2,0.0007037
190,lare,<code>lare</code>,2,0.0007037
190,lareowes,<code>lareowes</code>,2,0.0007037
190,leofode,<code>leofode</code>,2,0.0007037
190,libban,<code>libban</code>,2,0.0007037
190,lic,<code>lic</code>,2,0.0007037
190,lif,<code>lif</code>,2,0.0007037
190,m&aelig;ran,<code>m&amp;ae;ran</code>,2,0.0007037
190,ma,<code>ma</code>,2,0.0007037
190,man,<code>man</code>,2,0.0007037
190,mergen,<code>mergen</code>,2,0.0007037
190,mode,<code>mode</code>,2,0.0007037
190,modor,<code>modor</code>,2,0.0007037
190,moste,<code>moste</code>,2,0.0007037
190,munuclicere,<code>munuclicere</code>,2,0.0007037
190,mycclum,<code>mycclum</code>,2,0.0007037
190,mycelre,<code>mycelre</code>,2,0.0007037
190,mynstres,<code>mynstres</code>,2,0.0007037
190,n&aelig;fre,<code>n&amp;ae;fre</code>,2,0.0007037
190,n&aelig;re,<code>n&amp;ae;re</code>,2,0.0007037
190,nolde,<code>nolde</code>,2,0.0007037
190,o&eth;&thorn;&aelig;t,<code>o&amp;d;&amp;t;&amp;ae;t</code>,2,0.0007037
190,o&eth;res,<code>o&amp;d;res</code>,2,0.0007037
190,o&eth;rum,<code>o&amp;d;rum</code>,2,0.0007037
190,oft,<code>oft</code>,2,0.0007037
190,preoste,<code>preoste</code>,2,0.0007037
190,regol,<code>regol</code>,2,0.0007037
190,s&aelig;cge,<code>s&amp;ae;cge</code>,2,0.0007037
190,scealt,<code>scealt</code>,2,0.0007037
190,scire,<code>scire</code>,2,0.0007037
190,se&eth;e,<code>se&amp;d;e</code>,2,0.0007037
190,seo,<code>seo</code>,2,0.0007037
190,sette,<code>sette</code>,2,0.0007037
190,si&eth;ode,<code>si&amp;d;ode</code>,2,0.0007037
190,so&eth;,<code>so&amp;d;</code>,2,0.0007037
190,so&eth;an,<code>so&amp;d;an</code>,2,0.0007037
190,stemne,<code>stemne</code>,2,0.0007037
190,sumne,<code>sumne</code>,2,0.0007037
190,swi&eth;e,<code>swi&amp;d;e</code>,2,0.0007037
190,swylce,<code>swylce</code>,2,0.0007037
190,sy,<code>sy</code>,2,0.0007037
190,timan,<code>timan</code>,2,0.0007037
190,twentig,<code>twentig</code>,2,0.0007037
190,unea&eth;e,<code>unea&amp;d;e</code>,2,0.0007037
190,uppon,<code>uppon</code>,2,0.0007037
190,w&aelig;ter,<code>w&amp;ae;ter</code>,2,0.0007037
190,wege,<code>wege</code>,2,0.0007037
190,wif,<code>wif</code>,2,0.0007037
190,wines,<code>wines</code>,2,0.0007037
190,wintra,<code>wintra</code>,2,0.0007037
190,wiste,<code>wiste</code>,2,0.0007037
190,wodnysse,<code>wodnysse</code>,2,0.0007037
190,wodum,<code>wodum</code>,2,0.0007037
190,wuldre,<code>wuldre</code>,2,0.0007037
190,wunigende,<code>wunigende</code>,2,0.0007037
190,wununge,<code>wununge</code>,2,0.0007037
190,wur&eth;ode,<code>wur&amp;d;ode</code>,2,0.0007037
190,wyrhtum,<code>wyrhtum</code>,2,0.0007037
312,&aelig;&eth;ela,<code>&amp;ae;&amp;d;ela</code>,1,0.0003519
312,&aelig;&eth;elan,<code>&amp;ae;&amp;d;elan</code>,1,0.0003519
312,&aelig;&eth;elborenne,<code>&amp;ae;&amp;d;elborenne</code>,1,0.0003519
312,&aelig;&thorn;elboren,<code>&amp;ae;&amp;t;elboren</code>,1,0.0003519
312,&aelig;lmihtig,<code>&amp;ae;lmihtig</code>,1,0.0003519
312,&aelig;lmihtiga,<code>&amp;ae;lmihtiga</code>,1,0.0003519
312,&aelig;lmihtigon,<code>&amp;ae;lmihtigon</code>,1,0.0003519
312,&aelig;nig,<code>&amp;ae;nig</code>,1,0.0003519
312,&aelig;nige,<code>&amp;ae;nige</code>,1,0.0003519
312,&aelig;rendgewrit,<code>&amp;ae;rendgewrit</code>,1,0.0003519
312,&aelig;rnemergen,<code>&amp;ae;rnemergen</code>,1,0.0003519
312,&aelig;teowa,<code>&amp;ae;teowa</code>,1,0.0003519
312,&aelig;tg&aelig;dere,<code>&amp;ae;tg&amp;ae;dere</code>,1,0.0003519
312,&aelig;wf&aelig;ste,<code>&amp;ae;wf&amp;ae;ste</code>,1,0.0003519
